"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS","TSUN","WESD","WESF","WT01","WT02","WT03","WT04","WT06","WT08","WT09","WT11"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","41.0639","-73.7722","71.0","2017-01-06",,,,,,,"0.0",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-01",,"42","27","34",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-02",,"45","27","33",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-03",,"37","33","36",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-04",,"41","36","39",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-05",,"50","25","25",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-06",,"31","24","26",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-07",,"32","21","22",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-08",,"22","16","17",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-09",,"24","6","7",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-10",,"21","6","10",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-11",,"42","10","39",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-12",,"49","37","48",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-13",,"60","47","48",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-14",,"48","25","25",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-15",,"31","24","27",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-16",,"36","18","19",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-17",,"42","19","35",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-18",,"38","35","38",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-19",,"41","32","32",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-20",,"46","32","35",,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.8917","-74.3962","85.3","2017-01-21",,"43","35","40",,,,,,,,,,,
